Instance,Weight,Version,Path Length,Expanded,Necessary,Elapsed,Reopens,Generated
10,1.8,0,5140,25951,20607,0.288592,5610,77720
10,1.8,1,5140,20387,18427,0.251437,2176,61128
10,1.8,2,5068,13217,9913,0.175948,0,39732
10,1.9,0,5300,43148,40936,0.365523,8724,129226
10,1.9,1,5300,33370,36355,0.31796,2560,100146
10,1.9,2,5300,21191,25050,0.208314,0,63649
10,1,0,4422,6451085,6422376,79.9953,28707,19070424
10,1,1,4422,6451085,6422376,83.3334,28707,19070424
10,1,2,4422,6451085,6422376,90.893,28707,19070424
10,2,0,5472,582029,474000,3.67295,213811,1709803
10,2,1,5472,343467,382565,2.70992,40911,1014867
10,2,2,5472,201846,282008,1.68081,0,593887
10,3,0,7366,712770,593395,3.19324,344654,2142969
10,3,1,7960,559452,801247,3.4336,93217,1693760
10,3,2,7186,832829,1112596,5.82601,0,2489279
10,4,0,6570,1315813,356953,7.04777,784860,4010931
10,4,1,6260,490342,54544,3.85532,34588,1507276
10,4,2,6260,396352,48432,3.37143,0,1219831
10,5,0,6716,2382646,510320,12.0788,1333047,7240225
10,5,1,6660,851152,359378,6.56475,70663,2608530
10,5,2,6660,702194,308461,6.05941,0,2154087
11,1.1,0,3448,159780,163703,1.7641,17009,479373
11,1.1,1,3448,145276,161835,1.7068,4428,435812
11,1.1,2,3448,137627,158543,1.65758,0,412929
11,1.2,0,3678,359811,362904,1.9828,109166,1080220
11,1.2,1,3606,280317,321984,1.84728,25865,839972
11,1.2,2,3606,233442,297741,1.57345,0,699553
11,1.3,0,3686,84430,82581,0.844846,17549,249314
11,1.3,1,3718,125903,132467,1.15567,15254,374154
11,1.3,2,3718,87240,104270,0.583399,0,259699
11,1.4,0,3974,215139,265253,2.14061,40317,643758
11,1.4,1,3974,187782,259613,1.30879,16641,562212
11,1.4,2,3974,149182,229623,1.14277,0,446338
11,1.5,0,4168,243874,212431,1.99271,107069,751186
11,1.5,1,4168,189599,205194,1.07806,57349,583404
11,1.5,2,3926,63979,53946,0.430679,0,196000
11,1.6,0,4322,173157,177849,1.72841,65301,534298
11,1.6,1,4322,127932,167002,0.968305,26414,393853
11,1.6,2,4322,70217,115578,0.519235,0,215471
11,1.7,0,4532,211560,243054,1.10261,62206,634930
11,1.7,1,4532,158499,224326,0.930912,20765,476926
11,1.7,2,4532,106227,174517,0.691559,0,318595
11,1.8,0,4532,190964,211919,1.82428,56795,574291
11,1.8,1,4532,141662,188175,0.910241,22750,426762
11,1.8,2,4532,90676,144839,0.630329,0,272534
11,1.9,0,4532,238565,236560,1.98187,76973,719041
11,1.9,1,4532,151703,187384,1.35499,24886,457332
11,1.9,2,4532,105858,156395,1.08392,0,318865
11,1,0,3318,59205,58102,0.723578,236,178010
11,1,1,3318,59205,58102,0.660827,236,178010
11,1,2,3318,59205,58102,0.659739,236,178010
11,2,0,4532,323027,272443,2.68164,117824,975665
11,2,1,4532,191977,210446,1.28361,33545,580003
11,2,2,4532,127936,169059,0.945713,0,386303
