,GAP,Instance,Stack,Weight,Version,Path Length,Expanded,Necessary,Elapsed,Reopens,Generated
116,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,1.1,2,14,51515,49550,2.2391,1504,669682
279,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,1.2,0,15,69277,108322,3.73705,2302,900588
280,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,1.2,1,15,69277,108322,2.91653,2302,900588
281,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,1.2,2,15,60689,100874,2.66392,189,788944
567,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,1.3,0,15,12679,24518,0.91182,137,164814
568,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,1.3,1,15,12679,24518,0.844641,137,164814
569,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,1.3,2,15,11596,23310,0.521374,1,150735
648,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,1.4,0,15,1912,4494,0.153935,15,24843
649,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,1.4,1,15,1912,4494,0.134473,15,24843
650,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,1.4,2,15,6834,10922,0.445727,0,88829
708,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,1.5,0,16,1469,4990,0.111078,9,19084
709,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,1.5,1,16,1469,4990,0.0738973,9,19084
710,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,1.5,2,16,6909,15036,0.351014,0,89804
876,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,1,0,14,78666,73919,3.30043,3819,1022645
877,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,1,1,14,78666,73919,3.38306,3819,1022645
878,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,1,2,14,78666,73919,3.60386,3819,1022645
1161,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,1.7,0,16,1077,2556,0.0601448,20,13988
1162,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,1.7,1,16,1077,2556,0.0555985,20,13988
1163,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,1.7,2,16,1192,2714,0.0636973,0,15483
1227,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,1.8,0,17,983,2254,0.0775743,37,12766
1228,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,1.8,1,17,983,2254,0.0659712,37,12766
1229,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,1.8,2,16,3019,3209,0.210787,0,39234
1377,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,1.6,0,16,967,2928,0.0773637,4,12558
1378,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,1.6,1,16,967,2928,0.0680569,4,12558
1379,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,1.6,2,16,3412,6367,0.241092,0,44343
1554,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,1.9,0,17,1011,2222,0.0745334,37,13130
1555,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,1.9,1,17,1011,2222,0.0706834,37,13130
1556,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,1.9,2,18,2185,4523,0.156463,0,28392
1629,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,2,0,18,275,1048,0.0125507,4,3562
1630,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,2,1,18,271,1045,0.0134895,0,3510
1631,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,2,2,18,271,1045,0.0130047,0,3510
1863,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,3,0,21,194,535,0.0142861,5,2509
1864,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,3,1,21,186,532,0.013138,1,2405
1865,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,3,2,21,182,531,0.0128488,0,2353
1884,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,4,0,27,230,1166,0.0209569,1,2977
1885,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,4,1,27,229,1163,0.0183017,0,2964
1886,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,4,2,27,229,1163,0.016545,0,2964
2043,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,5,0,27,144,874,0.0107404,0,1859
2044,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,5,1,27,144,874,0.0100009,0,1859
2045,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,5,2,27,144,874,0.00997167,0,1859
141,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,1.1,0,13,42032,37278,1.89019,1991,546403
142,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,1.1,1,13,42032,37278,1.80388,1991,546403
143,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,1.1,2,13,39024,35149,1.755,1323,507299
321,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,1.2,0,13,23112,12806,1.52786,741,300443
322,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,1.2,1,13,23112,12806,1.28069,741,300443
323,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,1.2,2,13,21624,11876,1.34394,56,281099
522,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,1.3,0,13,16481,9569,1.02947,794,214240
523,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,1.3,1,13,16481,9569,0.893189,794,214240
524,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,1.3,2,13,11608,8136,0.658525,15,150891
756,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,1.5,0,14,784,1988,0.0651961,10,10179
757,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,1.5,1,14,784,1988,0.0550131,10,10179
758,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,1.5,2,14,736,1920,0.0505296,0,9555
792,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,1.4,0,14,8182,12325,0.384864,421,106353
793,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,1.4,1,14,8182,12325,0.397854,421,106353
794,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,1.4,2,14,5859,10029,0.27998,4,76154
801,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,1,0,13,47647,45207,2.05633,2356,619398
802,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,1,1,13,47647,45207,2.16536,2356,619398
803,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,1,2,13,47647,45207,1.8206,2356,619398
957,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,1.6,0,14,639,1402,0.0509861,5,8294
958,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,1.6,1,14,639,1402,0.0442068,5,8294
959,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,1.6,2,14,618,1381,0.043009,0,8021
1095,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,1.7,0,14,505,1037,0.0211093,3,6552
1096,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,1.7,1,14,505,1037,0.0208406,3,6552
1097,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,1.7,2,14,480,1016,0.0193416,0,6227
1311,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,1.8,0,14,303,642,0.0256193,0,3926
1312,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,1.8,1,14,303,642,0.0224645,0,3926
1313,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,1.8,2,14,303,642,0.0210478,0,3926
1452,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,1.9,0,14,303,642,0.0254027,0,3926
1453,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,1.9,1,14,303,642,0.0241944,0,3926
1454,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,1.9,2,14,303,642,0.0204015,0,3926
1686,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,2,0,15,411,754,0.0265835,5,5330
1687,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,2,1,15,402,775,0.0247118,3,5213
1688,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,2,2,15,562,1096,0.0348555,0,7293
1761,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,3,0,16,146,238,0.00888859,0,1885
1762,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,3,1,16,146,238,0.00617853,0,1885
1763,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,3,2,16,146,238,0.00575367,0,1885
1905,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,4,0,18,141,455,0.00728991,0,1820
1906,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,4,1,18,141,455,0.00570485,0,1820
1907,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,4,2,18,141,455,0.00557936,0,1820
2076,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,5,0,18,158,442,0.00790887,0,2041
2077,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,5,1,18,158,442,0.00682034,0,2041
2078,0,4,13 5 9 6 0 11 8 1 4 3 2 12 10 7 ,5,2,18,158,442,0.0065632,0,2041
162,0,5,4 7 5 2 9 3 8 0 13 10 12 6 11 1 ,1.1,0,14,3631,3412,0.16874,118,47190
163,0,5,4 7 5 2 9 3 8 0 13 10 12 6 11 1 ,1.1,1,14,3631,3412,0.154374,118,47190
164,0,5,4 7 5 2 9 3 8 0 13 10 12 6 11 1 ,1.1,2,14,3588,3385,0.147745,88,46631
324,0,5,4 7 5 2 9 3 8 0 13 10 12 6 11 1 ,1.2,0,14,10533,3493,0.532544,479,136916
325,0,5,4 7 5 2 9 3 8 0 13 10 12 6 11 1 ,1.2,1,14,10533,3493,0.51017,479,136916
326,0,5,4 7 5 2 9 3 8 0 13 10 12 6 11 1 ,1.2,2,15,9727,11685,0.431425,67,126438
459,0,5,4 7 5 2 9 3 8 0 13 10 12 6 11 1 ,1.3,0,16,1222,2352,0.0544649,9,15873
460,0,5,4 7 5 2 9 3 8 0 13 10 12 6 11 1 ,1.3,1,16,1222,2352,0.0535616,9,15873
461,0,5,4 7 5 2 9 3 8 0 13 10 12 6 11 1 ,1.3,2,16,66635,79277,3.04228,63,866242
789,0,5,4 7 5 2 9 3 8 0 13 10 12 6 11 1 ,1.5,0,16,328,756,0.0272831,0,4251
790,0,5,4 7 5 2 9 3 8 0 13 10 12 6 11 1 ,1.5,1,16,328,756,0.0237376,0,4251
791,0,5,4 7 5 2 9 3 8 0 13 10 12 6 11 1 ,1.5,2,16,328,756,0.0236695,0,4251
804,0,5,4 7 5 2 9 3 8 0 13 10 12 6 11 1 ,1.4,0,16,479,1008,0.0428286,4,6214
805,0,5,4 7 5 2 9 3 8 0 13 10 12 6 11 1 ,1.4,1,16,479,1008,0.0334254,4,6214
806,0,5,4 7 5 2 9 3 8 0 13 10 12 6 11 1 ,1.4,2,17,3163,7466,0.146429,0,41106
906,0,5,4 7 5 2 9 3 8 0 13 10 12 6 11 1 ,1,0,14,4797,4624,0.349003,116,62348
907,0,5,4 7 5 2 9 3 8 0 13 10 12 6 11 1 ,1,1,14,4797,4624,0.336731,116,62348
908,0,5,4 7 5 2 9 3 8 0 13 10 12 6 11 1 ,1,2,14,4797,4624,0.335579,116,62348
1002,0,5,4 7 5 2 9 3 8 0 13 10 12 6 11 1 ,1.6,0,16,1635,909,0.126986,17,21242
